dataset,column,dtype,missing_count,missing_rate,non_missing_rate,unique_count
HRS,s14strok,float64,35880,0.7932086483618517,0.20679135163814832,3
HRS,s14psych,float64,35883,0.793274970155193,0.206725029844807,4
HRS,s14arthr,float64,35883,0.793274970155193,0.206725029844807,4
HRS,s14hibpe,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14diabe,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14cancre,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14lunge,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14hearte,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14stroke,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14psyche,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14arthre,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14conde,float64,35876,0.7931202193040633,0.2068797806959367,9
HRS,s14condef,float64,35876,0.7931202193040633,0.2068797806959367,6
HRS,s14hibpf,float64,35876,0.7931202193040633,0.2068797806959367,5
HRS,s14diabf,float64,35876,0.7931202193040633,0.2068797806959367,5
HRS,s14cancrf,float64,35876,0.7931202193040633,0.2068797806959367,5
HRS,s14lungf,float64,35876,0.7931202193040633,0.2068797806959367,5
HRS,s14heartf,float64,35876,0.7931202193040633,0.2068797806959367,5
HRS,s14strokf,float64,35876,0.7931202193040633,0.2068797806959367,5
HRS,s14psychf,float64,35876,0.7931202193040633,0.2068797806959367,5
HRS,s14arthrf,float64,35876,0.7931202193040633,0.2068797806959367,5
HRS,s14hibpq,float64,35876,0.7931202193040633,0.2068797806959367,8
HRS,s14diabq,float64,35876,0.7931202193040633,0.2068797806959367,9
HRS,s14cancrq,float64,35876,0.7931202193040633,0.2068797806959367,7
HRS,s14lungq,float64,35876,0.7931202193040633,0.2068797806959367,8
HRS,s14heartq,float64,35876,0.7931202193040633,0.2068797806959367,8
HRS,s14strokq,float64,35876,0.7931202193040633,0.2068797806959367,7
HRS,s14psychq,float64,35876,0.7931202193040633,0.2068797806959367,8
HRS,s14arthrq,float64,35876,0.7931202193040633,0.2068797806959367,8
HRS,s14hibps,float64,36052,0.7970110978467524,0.2029889021532476,2
HRS,s14diabs,float64,36052,0.7970110978467524,0.2029889021532476,2
HRS,s14cancrs,float64,36052,0.7970110978467524,0.2029889021532476,2
HRS,s14lungs,float64,36052,0.7970110978467524,0.2029889021532476,2
HRS,s14hearts,float64,36052,0.7970110978467524,0.2029889021532476,2
HRS,s14stroks,float64,36052,0.7970110978467524,0.2029889021532476,2
HRS,s14psychs,float64,36052,0.7970110978467524,0.2029889021532476,2
HRS,s14arthrs,float64,36052,0.7970110978467524,0.2029889021532476,2
HRS,s14conds,float64,36052,0.7970110978467524,0.2029889021532476,5
HRS,s14condsf,float64,35876,0.7931202193040633,0.2068797806959367,5
HRS,s14condsp,float64,36052,0.7970110978467524,0.2029889021532476,6
HRS,s14alzhe,float64,35885,0.7933191846840872,0.20668081531591276,4
HRS,s14demen,float64,35953,0.7948224786664898,0.2051775213335102,3
HRS,s14alzhee,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14demene,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14alzhef,float64,35876,0.7931202193040633,0.2068797806959367,5
HRS,s14demenf,float64,35876,0.7931202193040633,0.2068797806959367,6
HRS,s14alzheq,float64,35876,0.7931202193040633,0.2068797806959367,6
HRS,s14demenq,float64,35876,0.7931202193040633,0.2068797806959367,8
HRS,s14alzhes,float64,36053,0.7970332051111996,0.20296679488880043,2
HRS,s14demens,float64,36053,0.7970332051111996,0.20296679488880043,2
HRS,s14sleep,float64,35900,0.7936507936507936,0.2063492063492064,2
HRS,s14sleepe,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14sleepq,float64,35876,0.7931202193040633,0.2068797806959367,4
HRS,s14sleeps,float64,36210,0.8005040456293938,0.1994959543706062,2
HRS,s14hibpef,float64,34967,0.7730247159216519,0.2269752840783481,15
HRS,s14diabef,float64,34967,0.7730247159216519,0.2269752840783481,14
HRS,s14cancref,float64,34967,0.7730247159216519,0.2269752840783481,14
HRS,s14lungef,float64,34967,0.7730247159216519,0.2269752840783481,13
HRS,s14heartef,float64,34967,0.7730247159216519,0.2269752840783481,13
HRS,s14strokef,float64,34967,0.7730247159216519,0.2269752840783481,10
HRS,s14psychef,float64,34967,0.7730247159216519,0.2269752840783481,15
HRS,s14arthref,float64,34967,0.7730247159216519,0.2269752840783481,15
HRS,s14alzheef,float64,34967,0.7730247159216519,0.2269752840783481,8
HRS,s14demenef,float64,34967,0.7730247159216519,0.2269752840783481,7
HRS,s14sleepef,float64,34967,0.7730247159216519,0.2269752840783481,5
HRS,s14hibpe2,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14diabe2,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14cancre2,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14lunge2,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14hearte2,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14stroke2,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14psyche2,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14arthre2,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14demene2,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14alzhee2,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14hosp,float64,35922,0.7941371534686298,0.2058628465313702,2
HRS,s14nrshom,float64,35909,0.7938497590308176,0.20615024096918244,2
HRS,s14doctor,float64,35912,0.7939160808241588,0.20608391917584123,2
HRS,s14homcar,float64,35924,0.794181367997524,0.20581863200247597,2
HRS,s14hsptim,float64,35943,0.7946014060220188,0.20539859397798121,20
