observed_fraction,observed_rows,hidden_rows,test_rows,latent_dim,reconstruction_id,avg_ks_statistic,avg_wasserstein_distance,correlation_structure_distance,covariance_structure_distance,target_distribution_l1_difference,hidden_spd,reconstructed_spd,spd_absolute_gap,runtime_seconds,utility_accuracy,utility_balanced_accuracy,utility_macro_f1,utility_roc_auc_ovr
0.1,2099,18899,9450,20,2,0.2426089563821719,0.3228384208842074,1.7146849982753072,1.41051553346955,0.018096195565903,0.010455103889461748,0.003672297091097426,0.006782806798364321,0.965008020401001,0.7815873015873016,0.633938133405574,0.6204384293791825,0.9159559360374143
0.1,2099,18899,9450,20,3,0.24227207788771896,0.32307319640593957,1.6864802910146504,1.391633587836339,0.009418487750674595,0.010455103889461748,0.00551423236961332,0.004940871519848428,0.9647579193115234,0.7852910052910053,0.6364999139407064,0.6229470181997103,0.9164374644575385
0.1,2099,18899,9450,20,4,0.24276416741626541,0.32331438352252295,1.6944121706387647,1.3981431746689705,0.01682628710513781,0.010455103889461748,0.002083125377291689,0.008371978512170059,0.975264310836792,0.7828571428571428,0.6348340404324544,0.6212623403139411,0.9191349609972621
0.1,2099,18899,9450,20,5,0.2433814840291374,0.32471620417243857,1.6951997392376992,1.3942738823038479,0.009947616275993436,0.010455103889461748,0.011636682564930001,0.0011815786754682533,0.9705154895782471,0.7832804232804232,0.6351503404479965,0.6216189824020468,0.9177349763868008
0.1,2099,18899,9450,23,1,0.2381325290579748,0.3147494293095318,1.1113030027647341,1.0948992846648702,0.01682628710513781,0.010455103889461748,0.002083125377291689,0.008371978512170059,1.2000377178192139,0.7332275132275132,0.7164689906752717,0.6678398173549884,0.913970243893779
0.1,2099,18899,9450,23,2,0.23878512090586806,0.3145117702769394,1.1049904974367208,1.079472032709402,0.009947616275993436,0.010455103889461748,0.011636682564930001,0.0011815786754682533,1.2291722297668457,0.7393650793650793,0.7237871705921377,0.6764534031698651,0.914627554787373
0.1,2099,18899,9450,23,3,0.23828068504506414,0.31423531772754426,1.0995032456673601,1.0695417051217169,0.010053441981057211,0.010455103889461748,0.002817856064130042,0.0076372478253317055,1.197331190109253,0.7367195767195768,0.7185813086362707,0.6714545169946016,0.914409925927087
0.1,2099,18899,9450,23,4,0.2389773709367339,0.3152667740632438,1.098181021643292,1.0825958602314065,0.0038097253822953273,0.010455103889461748,0.004977454602493464,0.005477649286968284,1.2086176872253418,0.7297354497354497,0.723256370858927,0.6668737273779206,0.912828715082528
0.1,2099,18899,9450,23,5,0.23780623313402824,0.3134877284221617,1.1057534836406917,1.0844824308702168,0.00836023070003701,0.010455103889461748,0.006169607276220845,0.004285496613240902,1.2175557613372803,0.7402116402116402,0.7192625934596388,0.6742301032051273,0.9133455895551589
0.2,4199,16799,8400,12,1,0.2622795007639344,0.3423095356542359,3.9846023208595054,2.591230027613124,0.0026192035240193076,0.013562964753218082,0.0017592195835488267,0.011803745169669255,0.510272741317749,0.761547619047619,0.6099245973326359,0.604233004940796,0.8998146819412757
