sensitive_attribute,subgroup,target_value,within_subgroup_rate
income_poverty_ratio,0.66,1.0,0.041666666666666664
income_poverty_ratio,0.66,2.0,0.375
income_poverty_ratio,0.66,3.0,0.2916666666666667
income_poverty_ratio,0.67,0.0,0.2903225806451613
income_poverty_ratio,0.67,1.0,0.06451612903225806
income_poverty_ratio,0.67,2.0,0.3548387096774194
income_poverty_ratio,0.67,3.0,0.2903225806451613
income_poverty_ratio,0.68,0.0,0.2222222222222222
income_poverty_ratio,0.68,1.0,0.1111111111111111
income_poverty_ratio,0.68,2.0,0.3611111111111111
income_poverty_ratio,0.68,3.0,0.3055555555555556
income_poverty_ratio,0.69,0.0,0.3
income_poverty_ratio,0.69,1.0,0.06666666666666667
income_poverty_ratio,0.69,2.0,0.4666666666666667
income_poverty_ratio,0.69,3.0,0.16666666666666666
income_poverty_ratio,0.7,0.0,0.3181818181818182
income_poverty_ratio,0.7,1.0,0.045454545454545456
income_poverty_ratio,0.7,2.0,0.36363636363636365
income_poverty_ratio,0.7,3.0,0.2727272727272727
income_poverty_ratio,0.71,0.0,0.21739130434782608
income_poverty_ratio,0.71,1.0,0.043478260869565216
income_poverty_ratio,0.71,2.0,0.5217391304347826
income_poverty_ratio,0.71,3.0,0.21739130434782608
income_poverty_ratio,0.72,0.0,0.35294117647058826
income_poverty_ratio,0.72,1.0,0.029411764705882353
income_poverty_ratio,0.72,2.0,0.23529411764705882
income_poverty_ratio,0.72,3.0,0.38235294117647056
income_poverty_ratio,0.73,0.0,0.3103448275862069
income_poverty_ratio,0.73,1.0,0.05172413793103448
income_poverty_ratio,0.73,2.0,0.29310344827586204
income_poverty_ratio,0.73,3.0,0.3448275862068966
income_poverty_ratio,0.74,0.0,0.16279069767441862
income_poverty_ratio,0.74,1.0,0.023255813953488372
income_poverty_ratio,0.74,2.0,0.5348837209302325
income_poverty_ratio,0.74,3.0,0.27906976744186046
income_poverty_ratio,0.75,0.0,0.27941176470588236
income_poverty_ratio,0.75,1.0,0.014705882352941176
income_poverty_ratio,0.75,2.0,0.4264705882352941
income_poverty_ratio,0.75,3.0,0.27941176470588236
income_poverty_ratio,0.76,0.0,0.3125
income_poverty_ratio,0.76,1.0,0.020833333333333332
income_poverty_ratio,0.76,2.0,0.4583333333333333
income_poverty_ratio,0.76,3.0,0.20833333333333334
income_poverty_ratio,0.77,0.0,0.23076923076923078
income_poverty_ratio,0.77,1.0,0.10256410256410256
income_poverty_ratio,0.77,2.0,0.48717948717948717
income_poverty_ratio,0.77,3.0,0.1794871794871795
income_poverty_ratio,0.78,0.0,0.14634146341463414
income_poverty_ratio,0.78,1.0,0.07317073170731707
income_poverty_ratio,0.78,2.0,0.5121951219512195
income_poverty_ratio,0.78,3.0,0.2682926829268293
income_poverty_ratio,0.79,0.0,0.23809523809523808
income_poverty_ratio,0.79,1.0,0.047619047619047616
income_poverty_ratio,0.79,2.0,0.47619047619047616
income_poverty_ratio,0.79,3.0,0.23809523809523808
income_poverty_ratio,0.8,0.0,0.25
income_poverty_ratio,0.8,1.0,0.0
income_poverty_ratio,0.8,2.0,0.4166666666666667
income_poverty_ratio,0.8,3.0,0.3333333333333333
income_poverty_ratio,0.81,0.0,0.35294117647058826
income_poverty_ratio,0.81,1.0,0.0
income_poverty_ratio,0.81,2.0,0.43137254901960786
income_poverty_ratio,0.81,3.0,0.21568627450980393
income_poverty_ratio,0.82,0.0,0.22448979591836735
income_poverty_ratio,0.82,1.0,0.061224489795918366
income_poverty_ratio,0.82,2.0,0.3673469387755102
income_poverty_ratio,0.82,3.0,0.3469387755102041
income_poverty_ratio,0.83,0.0,0.2571428571428571
income_poverty_ratio,0.83,1.0,0.0
income_poverty_ratio,0.83,2.0,0.45714285714285713
income_poverty_ratio,0.83,3.0,0.2857142857142857
income_poverty_ratio,0.84,0.0,0.2926829268292683
income_poverty_ratio,0.84,1.0,0.0
income_poverty_ratio,0.84,2.0,0.4878048780487805
income_poverty_ratio,0.84,3.0,0.21951219512195122
income_poverty_ratio,0.85,0.0,0.2972972972972973
income_poverty_ratio,0.85,1.0,0.02702702702702703
income_poverty_ratio,0.85,2.0,0.35135135135135137
income_poverty_ratio,0.85,3.0,0.32432432432432434
income_poverty_ratio,0.86,0.0,0.3673469387755102
income_poverty_ratio,0.86,1.0,0.08163265306122448
income_poverty_ratio,0.86,2.0,0.3469387755102041
income_poverty_ratio,0.86,3.0,0.20408163265306123
income_poverty_ratio,0.87,0.0,0.3728813559322034
income_poverty_ratio,0.87,1.0,0.03389830508474576
income_poverty_ratio,0.87,2.0,0.3050847457627119
income_poverty_ratio,0.87,3.0,0.288135593220339
income_poverty_ratio,0.88,0.0,0.14285714285714285
income_poverty_ratio,0.88,1.0,0.10714285714285714
income_poverty_ratio,0.88,2.0,0.42857142857142855
income_poverty_ratio,0.88,3.0,0.32142857142857145
income_poverty_ratio,0.89,0.0,0.3783783783783784
income_poverty_ratio,0.89,1.0,0.02702702702702703
income_poverty_ratio,0.89,2.0,0.2702702702702703
income_poverty_ratio,0.89,3.0,0.32432432432432434
income_poverty_ratio,0.9,0.0,0.3448275862068966
income_poverty_ratio,0.9,1.0,0.0
income_poverty_ratio,0.9,2.0,0.3793103448275862
income_poverty_ratio,0.9,3.0,0.27586206896551724
income_poverty_ratio,0.91,0.0,0.3548387096774194
income_poverty_ratio,0.91,1.0,0.0
income_poverty_ratio,0.91,2.0,0.45161290322580644
income_poverty_ratio,0.91,3.0,0.1935483870967742
income_poverty_ratio,0.92,0.0,0.2549019607843137
income_poverty_ratio,0.92,1.0,0.0784313725490196
income_poverty_ratio,0.92,2.0,0.4117647058823529
income_poverty_ratio,0.92,3.0,0.2549019607843137
income_poverty_ratio,0.93,0.0,0.21428571428571427
income_poverty_ratio,0.93,1.0,0.0
income_poverty_ratio,0.93,2.0,0.39285714285714285
income_poverty_ratio,0.93,3.0,0.39285714285714285
income_poverty_ratio,0.94,0.0,0.3235294117647059
income_poverty_ratio,0.94,1.0,0.08823529411764706
income_poverty_ratio,0.94,2.0,0.35294117647058826
income_poverty_ratio,0.94,3.0,0.23529411764705882
income_poverty_ratio,0.95,0.0,0.325
income_poverty_ratio,0.95,1.0,0.025
income_poverty_ratio,0.95,2.0,0.35
income_poverty_ratio,0.95,3.0,0.3
income_poverty_ratio,0.96,0.0,0.14285714285714285
income_poverty_ratio,0.96,1.0,0.0
income_poverty_ratio,0.96,2.0,0.5238095238095238
income_poverty_ratio,0.96,3.0,0.3333333333333333
income_poverty_ratio,0.97,0.0,0.23529411764705882
income_poverty_ratio,0.97,1.0,0.0
income_poverty_ratio,0.97,2.0,0.5294117647058824
income_poverty_ratio,0.97,3.0,0.23529411764705882
income_poverty_ratio,0.98,0.0,0.29411764705882354
income_poverty_ratio,0.98,1.0,0.0
income_poverty_ratio,0.98,2.0,0.3235294117647059
income_poverty_ratio,0.98,3.0,0.38235294117647056
income_poverty_ratio,0.99,0.0,0.2926829268292683
income_poverty_ratio,0.99,1.0,0.0975609756097561
income_poverty_ratio,0.99,2.0,0.4878048780487805
income_poverty_ratio,0.99,3.0,0.12195121951219512
income_poverty_ratio,1.0,0.0,0.37254901960784315
income_poverty_ratio,1.0,1.0,0.0196078431372549
income_poverty_ratio,1.0,2.0,0.29411764705882354
income_poverty_ratio,1.0,3.0,0.3137254901960784
income_poverty_ratio,1.01,0.0,0.36666666666666664
income_poverty_ratio,1.01,1.0,0.06666666666666667
income_poverty_ratio,1.01,2.0,0.3333333333333333
income_poverty_ratio,1.01,3.0,0.23333333333333334
income_poverty_ratio,1.02,0.0,0.3333333333333333
income_poverty_ratio,1.02,1.0,0.06349206349206349
income_poverty_ratio,1.02,2.0,0.36507936507936506
income_poverty_ratio,1.02,3.0,0.23809523809523808
income_poverty_ratio,1.03,0.0,0.23529411764705882
income_poverty_ratio,1.03,1.0,0.058823529411764705
income_poverty_ratio,1.03,2.0,0.43137254901960786
income_poverty_ratio,1.03,3.0,0.27450980392156865
income_poverty_ratio,1.04,0.0,0.3333333333333333
income_poverty_ratio,1.04,1.0,0.030303030303030304
income_poverty_ratio,1.04,2.0,0.45454545454545453
income_poverty_ratio,1.04,3.0,0.18181818181818182
income_poverty_ratio,1.05,0.0,0.3333333333333333
income_poverty_ratio,1.05,1.0,0.03333333333333333
income_poverty_ratio,1.05,2.0,0.26666666666666666
income_poverty_ratio,1.05,3.0,0.36666666666666664
income_poverty_ratio,1.06,0.0,0.3333333333333333
income_poverty_ratio,1.06,1.0,0.1
income_poverty_ratio,1.06,2.0,0.36666666666666664
income_poverty_ratio,1.06,3.0,0.2
income_poverty_ratio,1.07,0.0,0.4444444444444444
income_poverty_ratio,1.07,1.0,0.027777777777777776
income_poverty_ratio,1.07,2.0,0.2777777777777778
income_poverty_ratio,1.07,3.0,0.25
income_poverty_ratio,1.08,0.0,0.26666666666666666
income_poverty_ratio,1.08,1.0,0.044444444444444446
income_poverty_ratio,1.08,2.0,0.4444444444444444
income_poverty_ratio,1.08,3.0,0.24444444444444444
income_poverty_ratio,1.09,0.0,0.36
income_poverty_ratio,1.09,1.0,0.04
income_poverty_ratio,1.09,2.0,0.44
income_poverty_ratio,1.09,3.0,0.16
income_poverty_ratio,1.1,0.0,0.25
income_poverty_ratio,1.1,1.0,0.09615384615384616
income_poverty_ratio,1.1,2.0,0.4230769230769231
income_poverty_ratio,1.1,3.0,0.23076923076923078
income_poverty_ratio,1.11,0.0,0.3076923076923077
income_poverty_ratio,1.11,1.0,0.07692307692307693
income_poverty_ratio,1.11,2.0,0.41025641025641024
income_poverty_ratio,1.11,3.0,0.20512820512820512
income_poverty_ratio,1.12,0.0,0.4
income_poverty_ratio,1.12,1.0,0.0
income_poverty_ratio,1.12,2.0,0.26666666666666666
income_poverty_ratio,1.12,3.0,0.3333333333333333
income_poverty_ratio,1.13,0.0,0.40625
income_poverty_ratio,1.13,1.0,0.03125
income_poverty_ratio,1.13,2.0,0.40625
income_poverty_ratio,1.13,3.0,0.15625
income_poverty_ratio,1.14,0.0,0.2
income_poverty_ratio,1.14,1.0,0.0
income_poverty_ratio,1.14,2.0,0.6
income_poverty_ratio,1.14,3.0,0.2
income_poverty_ratio,1.15,0.0,0.3448275862068966
income_poverty_ratio,1.15,1.0,0.06896551724137931
income_poverty_ratio,1.15,2.0,0.41379310344827586
income_poverty_ratio,1.15,3.0,0.1724137931034483
income_poverty_ratio,1.16,0.0,0.37254901960784315
income_poverty_ratio,1.16,1.0,0.0784313725490196
income_poverty_ratio,1.16,2.0,0.3333333333333333
income_poverty_ratio,1.16,3.0,0.21568627450980393
income_poverty_ratio,1.17,0.0,0.2777777777777778
income_poverty_ratio,1.17,1.0,0.0
income_poverty_ratio,1.17,2.0,0.5
income_poverty_ratio,1.17,3.0,0.2222222222222222
income_poverty_ratio,1.18,0.0,0.25
income_poverty_ratio,1.18,1.0,0.03125
income_poverty_ratio,1.18,2.0,0.59375
income_poverty_ratio,1.18,3.0,0.125
income_poverty_ratio,1.19,0.0,0.23404255319148937
income_poverty_ratio,1.19,1.0,0.0
income_poverty_ratio,1.19,2.0,0.3829787234042553
income_poverty_ratio,1.19,3.0,0.3829787234042553
income_poverty_ratio,1.2,0.0,0.23529411764705882
income_poverty_ratio,1.2,1.0,0.11764705882352941
income_poverty_ratio,1.2,2.0,0.4411764705882353
income_poverty_ratio,1.2,3.0,0.20588235294117646
income_poverty_ratio,1.21,0.0,0.4642857142857143
income_poverty_ratio,1.21,1.0,0.07142857142857142
income_poverty_ratio,1.21,2.0,0.39285714285714285
income_poverty_ratio,1.21,3.0,0.07142857142857142
income_poverty_ratio,1.22,0.0,0.2833333333333333
income_poverty_ratio,1.22,1.0,0.05
income_poverty_ratio,1.22,2.0,0.43333333333333335
income_poverty_ratio,1.22,3.0,0.23333333333333334
income_poverty_ratio,1.23,0.0,0.28205128205128205
income_poverty_ratio,1.23,1.0,0.0
income_poverty_ratio,1.23,2.0,0.358974358974359
income_poverty_ratio,1.23,3.0,0.358974358974359
income_poverty_ratio,1.24,0.0,0.23809523809523808
income_poverty_ratio,1.24,1.0,0.023809523809523808
income_poverty_ratio,1.24,2.0,0.40476190476190477
income_poverty_ratio,1.24,3.0,0.3333333333333333
income_poverty_ratio,1.25,0.0,0.40625
income_poverty_ratio,1.25,1.0,0.03125
income_poverty_ratio,1.25,2.0,0.28125
income_poverty_ratio,1.25,3.0,0.28125
income_poverty_ratio,1.26,0.0,0.5106382978723404
income_poverty_ratio,1.26,1.0,0.10638297872340426
income_poverty_ratio,1.26,2.0,0.2765957446808511
income_poverty_ratio,1.26,3.0,0.10638297872340426
income_poverty_ratio,1.27,0.0,0.2978723404255319
income_poverty_ratio,1.27,1.0,0.10638297872340426
income_poverty_ratio,1.27,2.0,0.3829787234042553
income_poverty_ratio,1.27,3.0,0.2127659574468085
income_poverty_ratio,1.28,0.0,0.4666666666666667
income_poverty_ratio,1.28,1.0,0.0
income_poverty_ratio,1.28,2.0,0.4
income_poverty_ratio,1.28,3.0,0.13333333333333333
income_poverty_ratio,1.29,0.0,0.2714285714285714
income_poverty_ratio,1.29,1.0,0.05714285714285714
income_poverty_ratio,1.29,2.0,0.4
income_poverty_ratio,1.29,3.0,0.2714285714285714
income_poverty_ratio,1.3,0.0,0.3333333333333333
income_poverty_ratio,1.3,1.0,0.047619047619047616
income_poverty_ratio,1.3,2.0,0.47619047619047616
income_poverty_ratio,1.3,3.0,0.14285714285714285
income_poverty_ratio,1.31,0.0,0.2777777777777778
income_poverty_ratio,1.31,1.0,0.05555555555555555
income_poverty_ratio,1.31,2.0,0.5555555555555556
income_poverty_ratio,1.31,3.0,0.1111111111111111
