observed_fraction,observed_rows,temporal_test_rows,latent_dim,reconstruction_id,avg_ks_statistic,avg_wasserstein_distance,correlation_structure_distance,covariance_structure_distance,target_distribution_l1_difference,test_spd,reconstructed_spd,runtime_seconds,spd_absolute_gap,utility_accuracy,utility_balanced_accuracy,utility_macro_f1,utility_roc_auc_ovr
0.1,762,2872,16,4,0.30064995357474467,0.3989100305875724,3.9383704890535163,3.3346575687756483,0.09261838440111424,0.03492082430605775,0.018418982313348015,0.11739492416381836,0.016501841992709737,0.7858635097493036,0.6344038876211104,0.6210362623787272,0.9137555340374823
0.1,762,2872,16,5,0.29635561745589606,0.39478780843692635,3.89822713532582,3.248204420209634,0.11420612813370475,0.03492082430605775,0.013411301148740756,0.16148138046264648,0.021509523157316995,0.7896935933147632,0.6368487929782265,0.6221586137974522,0.903423302533121
0.1,762,2872,20,1,0.29750464252553394,0.4070974789433127,3.2797974209117435,2.9463007882180468,0.11420612813370475,0.03492082430605775,0.013411301148740756,0.19683194160461426,0.021509523157316995,0.7959610027855153,0.6418502393737605,0.6272838382369199,0.8935354547996752
0.1,762,2872,20,2,0.29419684308263694,0.40350992083046905,3.35835204204709,3.035440053009067,0.11977715877437328,0.03492082430605775,0.000738157907516579,0.19640541076660156,0.03418266639854117,0.7907381615598886,0.6388777421080791,0.623401523602833,0.9039232555355704
0.1,762,2872,20,3,0.2947539461467038,0.40695077576956606,3.372541967647916,3.0191208877050504,0.1260445682451254,0.03492082430605775,0.0026019287343878317,0.17198777198791504,0.03231889557166992,0.7889972144846796,0.6373280374037615,0.6226321434974201,0.9060805049050158
0.1,762,2872,20,4,0.29362813370473534,0.4049340512585032,3.328228779662293,2.9866193460284154,0.10654596100278557,0.03492082430605775,0.008276002649951597,0.16183710098266602,0.026644821656106155,0.7879526462395543,0.6365592116996611,0.6223148609378313,0.9173327073557584
0.1,762,2872,20,5,0.30008124419684307,0.40418293955835005,3.342167845800275,2.9861017425753924,0.10097493036211701,0.03492082430605775,0.014988789460685964,0.16458725929260254,0.019932034845371788,0.7879526462395543,0.6367264134118067,0.6219983349376903,0.8981780891055203
0.1,762,2872,23,1,0.2897864438254411,0.3993158269783064,2.7776137188279915,2.848240058187342,0.10654596100278557,0.03492082430605775,0.008276002649951597,0.20132708549499512,0.026644821656106155,0.7541782729805014,0.6645546050391555,0.6519385694719878,0.9138207666709497
0.1,762,2872,23,2,0.2916666666666667,0.40170604525642656,2.7688762404695724,2.8284835353251374,0.10097493036211701,0.03492082430605775,0.014988789460685964,0.24148249626159668,0.019932034845371788,0.7604456824512534,0.6675541024206755,0.6560094001954467,0.9147927423980495
0.1,762,2872,23,3,0.29037836583101206,0.40024241484315226,2.7652199877472086,2.830296810500868,0.11142061281337051,0.03492082430605775,0.0011313431603286739,0.23440337181091309,0.03378948114572908,0.7461699164345403,0.6614157728975144,0.6406306860866895,0.9086949139139116
